"target_branch_id","paired_branch_id","mu","Lambda_target","Lambda_pair","gap_abs","gap_rel","sorted_position_target","sorted_position_pair","n_left_target","n_right_target","n_left_pair","n_right_pair"
"bending_desc_01","bending_desc_04","0.16875000000000001","5.1551007977295571","6.4020212507681453","1.2469204530385882","0.21578390326001168","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.17125000000000001","5.1656626783498192","6.3922805515821324","1.2266178732323132","0.21225538987866011","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.17374999999999999","5.1762385997558162","6.3826712649557891","1.2064326651999728","0.20874505975396726","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.17499999999999999","5.1815299820478566","6.3779176372904081","1.1963876552425514","0.20699737472594562","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.17624999999999999","5.1868227166867955","6.3731989695674756","1.18637625288068","0.20525502201978912","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.17874999999999999","5.1974090606994539","6.363869610080668","1.1664605493812141","0.20178746358381908","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.18124999999999999","5.2079913060351934","6.3546892788378555","1.1466979728026621","0.19834465968087658","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.18375","5.2185626371713871","6.345664672507108","1.1271020353357208","0.19492906964781137","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.18625","5.229116169697428","6.3368027487977452","1.1076865791003172","0.1915432032519275","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.1875","5.2343838843629715","6.3324350826108038","1.0980511982478323","0.18986226055461733","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.18875","5.2396442042845237","6.3281108878659031","1.0884666835813794","0.18818978702617661","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.19125","5.2501389239322096","6.3195970152348062","1.0694580913025966","0.18487165081826304","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.19375000000000001","5.2605919344168584","6.3112694590830216","1.0506775246661633","0.18159179218243099","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.19625000000000001","5.2709942247582582","6.3031370401622002","1.032142815403942","0.17835339720609869","2","3","1","2","2","2"
